Date,Campaign,Platform,Region,Impressions,Clicks,Cost,Conversions,Revenue,CTR,CPC,CPA,ROAS,Month,Quarter
2025-08-15,Summer Sale 2024,Google Ads,North America,25795,1238,2884.52,69,2943.43,4.8,2.33,41.8,1.02,August 2025,Q3 2025
2025-08-15,Summer Sale 2024,Google Ads,Europe,47194,1338,1785.26,38,1621.03,2.84,1.33,46.98,0.91,August 2025,Q3 2025
2025-08-15,Summer Sale 2024,Facebook Ads,North America,51090,552,1614.48,38,1489.27,1.08,2.92,42.49,0.92,August 2025,Q3 2025
2025-08-15,Summer Sale 2024,Facebook Ads,Europe,93104,2064,3739.74,94,3736.34,2.22,1.81,39.78,1.0,August 2025,Q3 2025
2025-08-15,Summer Sale 2024,Instagram Ads,North America,35658,926,571.03,72,3059.25,2.6,0.62,7.93,5.36,August 2025,Q3 2025
2025-08-15,Summer Sale 2024,Instagram Ads,Europe,45773,823,1469.54,45,1951.26,1.8,1.79,32.66,1.33,August 2025,Q3 2025
2025-08-15,Holiday Special,Google Ads,North America,21394,949,2088.53,44,1088.24,4.44,2.2,47.47,0.52,August 2025,Q3 2025
2025-08-15,Holiday Special,Google Ads,Europe,33897,471,1041.18,21,1180.08,1.39,2.21,49.58,1.13,August 2025,Q3 2025
2025-08-15,Holiday Special,Facebook Ads,North America,58555,1745,1022.52,130,6919.31,2.98,0.59,7.87,6.77,August 2025,Q3 2025
2025-08-15,Holiday Special,Facebook Ads,Europe,29457,795,810.78,42,1377.25,2.7,1.02,19.3,1.7,August 2025,Q3 2025
2025-08-15,Holiday Special,Instagram Ads,North America,19692,960,2340.32,73,3444.61,4.88,2.44,32.06,1.47,August 2025,Q3 2025
2025-08-15,Holiday Special,Instagram Ads,Europe,21534,291,288.08,6,322.91,1.35,0.99,48.01,1.12,August 2025,Q3 2025
2025-08-15,Back to School,Google Ads,North America,65591,2871,6799.39,150,7441.22,4.38,2.37,45.33,1.09,August 2025,Q3 2025
2025-08-15,Back to School,Google Ads,Europe,49099,1556,1326.2,106,4861.08,3.17,0.85,12.51,3.67,August 2025,Q3 2025
2025-08-15,Back to School,Facebook Ads,North America,58984,2918,7092.53,93,5143.83,4.95,2.43,76.26,0.73,August 2025,Q3 2025
2025-08-15,Back to School,Facebook Ads,Europe,22666,293,409.08,7,380.19,1.29,1.4,58.44,0.93,August 2025,Q3 2025
